NO,名称,名称_かな,名称_カナ,住所,方書,郵便番号,緯度,経度,標高,電話番号,内線番号,FAX番号,Eメールアドレス,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ，土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,避難施設種別,指定避難所との重複,炊はん能力,想定収容人数,対象となる町会・自治会,URL,避難時連絡先,避難時連絡先電話番号,避難時連絡先（夜間・休日）,避難時連絡先（夜間・休日）電話番号,備考
1,波多江コミュニティセンター,,,福岡県糸島市池田216-1,,819 1103,33.567057,130.232511,,092 322 1614,,,,402303,福岡県,糸島市,1,,,1,,1,1,,,1,,175,,,,,,,
2,波多江小学校グラウンド,,,福岡県糸島市波多江駅北四丁目12-1,,819 1107,33.56552,130.2299319,,092 322 2330,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,3500,,,,,,,
3,波多江コミュニティ広場,,,福岡県糸島市池田214-1,,819 1103,33.566265,130.232585,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,2000,,,,,,,
4,高田東公園,,,福岡県糸島市高田四丁目17,,819 1102,33.572502,130.237551,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,500,,,,,,,
5,東風コミュニティセンター ,,,福岡県糸島市潤四丁目10-2,,819 1105,33.567711,130.215747,,092 321 1114,,,,402303,福岡県,糸島市,,1,,1,,1,1,,,1,,100,,,,,,,
6,東風小学校グラウンド,,,福岡県糸島市潤四丁目10-1,,819 1105,33.567462,130.216806,,092 321 4888,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,3000,,,,,,,
7,浦志公園,,,福岡県糸島市浦志二丁目3,,819 1112,33.5637002,130.2084884,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,600,,,,,,,
8,潤公園,,,福岡県糸島市潤三丁目5,,819 1105,33.5652568,130.2148093,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,600,,,,,,,
9,潤南公園,,,福岡県糸島市潤一丁目284-1,,819 1105,33.5610443,130.217412,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,850,,,,,,,
10,健康福祉センター　あごら,,,福岡県糸島市潤一丁目22-1,,819 1105,33.558579,130.219056,,092 322 6262,,,,402303,福岡県,糸島市,1,,,1,,1,1,,,1,,400,,,,,,,
11,健康福祉センター　あごらグラウンド,,,福岡県糸島市潤一丁目22-1,,819 1105,33.558579,130.219056,,092 322 6262,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,750,,,,,,,
12,前原コミュニティセンター,,,福岡県糸島市前原東二丁目2-5,,819 1119,33.561198,130.202658,,092 322 2481,,,,402303,福岡県,糸島市,1,,,1,,1,1,,,1,,125,,,,,,,
13,前原小学校グラウンド,,,福岡県糸島市前原東二丁目2-6,,819 1119,33.561981,130.202946,,092 322 3267,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,2500,,,,,,,
14,福岡県立糸島農業高校グラウンド,,,福岡県糸島市前原西三丁目2-1,,819 1117,33.560388,130.193285,,092 322 2654,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,3250,,,,,,,
15,丸田池公園,,,福岡県糸島市前原西一丁目4,,819 1117,33.55867,130.197698,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,1900,,,,,,,
16,前原中央公園,,,福岡県糸島市前原東二丁目2,,819 1119,33.561549,130.203608,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,2750,,,,,,,
17,前原南コミュニティセンター,,,福岡県糸島市前原南一丁目11-23,,819 1139,33.555771,130.207779,,092 324 1763,,,,402303,福岡県,糸島市,1,1,,1,,1,1,,,1,,100,,,,,,,
18,前原南小学校グラウンド,,,福岡県糸島市前原南一丁目17-1,,819 1139,33.556113,130.206195,,092 322 5200,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,2500,,,,,,,
19,前原中学校グラウンド,,,福岡県糸島市篠原西二丁目2-1,,819 1129,33.551316,130.207608,,092 322 2038,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,4000,,,,,,,
20,福岡県立糸島高等学校グラウンド,,,福岡県糸島市前原西三丁目2-1,,819 1117,33.5567312,130.2102832,,092 322 2604,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,5000,,,,,,,
21,篠原公園,,,福岡県糸島市前原駅南三丁目18,,819 1138,33.5544359,130.2047274,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,550,,,,,,,
22,伊都の杜第１公園,,,福岡県糸島市伊都の杜1-54外26筆,,,33.55920218,130.2141917,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,6700,,,,,,,
23,南風コミュニティセンター,,,福岡県糸島市南風台八丁目10-52,,819 1137,33.545475,130.191854,,092 322 9656,,,,402303,福岡県,糸島市,1,1,,1,,1,1,,,1,,100,,,,,,,
24,南風小学校グラウンド,,,福岡県糸島市南風台八丁目10-1,,819 1137,33.545934,130.19441,,092 331 2111,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,2500,,,,,,,
25,多久公園,,,福岡県糸島市多久1215,,819 1134,33.5444514,130.1942821,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,650,,,,,,,
26,荻浦はな咲公園,,,福岡県糸島市美咲が丘一丁目100-12,,819 1136,33.5507569,130.1891832,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,1500,,,,,,,
27,ほし咲公園,,,福岡県糸島市美咲が丘二丁目100-20,,819 1136,33.548547,130.1907363,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,700,,,,,,,
28,ゆめ咲公園,,,福岡県糸島市美咲が丘三丁目100-4,,819 1136,33.5479354,130.1872407,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,600,,,,,,,
29,みず咲公園,,,福岡県糸島市美咲が丘三丁目100-29,,819 1136,33.5466885,130.1847102,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,2350,,,,,,,
30,南風中央公園,,,福岡県糸島市南風台三丁目16,,819 1137,33.5507408,130.1948226,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,2250,,,,,,,
31,南風北公園,,,福岡県糸島市南風台一丁目4,,819 1137,33.5538382,130.1950839,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,2700,,,,,,,
32,前原西中学校グラウンド,,,福岡県糸島市荻浦三丁目4-1,,819 1121,33.554538,130.188857,,092 322 5329,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,4000,,,,,,,
33,加布里コミュニティセンター,,,福岡県糸島市神在西三丁目1-32,,819 1123,33.544197,130.174299,,092 322 3026,,,,402303,福岡県,糸島市,1,1,1,1,1,1,1,,,1,,50,,,,,,,
34,加布里小学校グラウンド,,,福岡県糸島市神在西3丁目1-27,,819 1123,33.5443524,130.1737049,,092 322 2741,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,2500,,,,,,,
35,かふりんぱーく,,,福岡県糸島市加布里437-2,,819 1124,33.5438541,130.1640044,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,2500,,,,,,,
36,加布里公園,,,福岡県糸島市加布里5丁目702-1外,,819 1124,33.5471284,130.1601311,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,1250,,,,,,,
37,浜の園公園,,,福岡県糸島市神在西2丁目6-1,,819 1123,33.546275,130.175171,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,650,,,,,,,
38,神在公園,,,福岡県糸島市神在844-1,,819 1123,33.5373353,130.1711783,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,1550,,,,,,,
39,釜塚公園,,,福岡県糸島市神在東5-405,,819 1123,33.5436393,130.1774971,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,1850,,,,,,,
40,長糸コミュニティセンター,,,福岡県糸島市川付876-1,,819 1155,33.510735,130.194531,,092 323 2032,,,,402303,福岡県,糸島市,1,1,,1,,1,1,,,1,,175,,,,,,,
41,長糸小学校グラウンド,,,福岡県糸島市川付847,,819 1155,33.511138,130.193386,,092 322 2920,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,1500,,,,,,,
42,雷山コミュニティセンター,,,福岡県糸島市蔵持838-6,,819 1141,33.538052,130.219225,,092 323 0078,,,,402303,福岡県,糸島市,1,1,,1,,1,1,,,1,,75,,,,,,,
43,雷山小学校グラウンド,,,福岡県糸島市蔵持810-1,,819 1141,33.53689,130.219278,,092 323 0816,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,1500,,,,,,,
44,平原歴史公園,,,福岡県糸島市有田1,,819 1132,33.542208,130.228306,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,2950,,,,,,,
45,富第２公園,,,福岡県糸島市富931-11,,819 1133,33.538264,130.204175,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,500,,,,,,,
46,怡土コミュニティセンター,,,福岡県糸島市井原916,,819 1582,33.536322,130.251442,,092 322 7815,,,,402303,福岡県,糸島市,1,1,,1,,1,1,,,1,,75,,,,,,,
47,怡土小学校グラウンド,,,福岡県糸島市高祖814,,819 1571,33.536907,130.250391,,092 322 7809,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,2500,,,,,,,
48,曽根運動場,,,福岡県糸島市曽根68-1,,819 1561,33.530475,130.230708,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,4500,,,,,,,
49,曽根中央公園,,,福岡県糸島市曽根851-1,,819 1561,33.537137,130.232678,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,600,,,,,,,
50,前原東中学校グラウンド,,,福岡県糸島市井田658,,819 1562,33.547754,130.230068,,092 324 2153,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,4000,,,,,,,
51,一貴山コミュニティセンター,,,福岡県糸島市二丈石崎81,,819 1623,33.516477,130.164052,,092 325 0151,,,,402303,福岡県,糸島市,1,1,,1,,1,1,,,1,,100,,,,,,,
52,一貴山小学校グラウンド,,,福岡県糸島市二丈石崎152,,819 1623,33.518455,130.162913,,092 325 0153,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,1750,,,,,,,
53,曲り田スポーツ公園,,,福岡県糸島市二丈石崎280,,819 1623,33.518912,130.16075,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,5000,,,,,,,
54,深江コミュニティセンター,,,福岡県糸島市二丈深江1360,,819 1601,33.517467,130.145531,,092 325 0234,,,,402303,福岡県,糸島市,1,1,1,1,1,1,1,,,1,,170,,,,,,,
55,深江小学校グラウンド,,,福岡県糸島市二丈深江999,,819 1601,33.514605,130.136229,,092 325 0023,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,1500,,,,,,,
56,二丈コミュニティプラザ,,,福岡県糸島市二丈深江1145,,819 1601,33.516378,130.142669,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,4900,,,,,,,
57,やよい野団地児童公園,,,福岡県糸島市二丈深江1126-1,,819 1601,33.512705,130.141373,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,750,,,,,,,
58,二丈中学校グラウンド,,,福岡県糸島市二丈深江1339-1,,819 1601,33.517404,130.144527,,092 325 0020,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,3500,,,,,,,
59,福吉コミュニティセンター,,,福岡県糸島市二丈吉井4017-1,,819 1641,33.503168,130.082782,,092 326 5501,,,,402303,福岡県,糸島市,1,1,1,1,1,1,1,,,1,,100,,,,,,,
60,福吉小学校グラウンド,,,福岡県糸島市二丈吉井4118,,819 1641,33.502743,130.078894,,092 326 5506,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,1500,,,,,,,
61,福吉中学校グラウンド,,,福岡県糸島市二丈福井5918-1,,819 1641,33.501667,130.085419,,092 326 5529,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,3000,,,,,,,
62,福吉しおさい運動場・公園,,,福岡県糸島市二丈吉井4232-20,,819 1641,33.505173,130.082144,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,14400,,,,,,,
63,グランパーク,,,福岡県糸島市二丈吉井3815-34,,819 1641,33.500791,130.083011,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,600,,,,,,,
64,可也コミュニティセンター,,,福岡県糸島市志摩初18-3,,819 1312,33.583436,130.184944,,092 327 1734,,,,402303,福岡県,糸島市,1,1,1,1,1,1,1,,,1,,250,,,,,,,
65,可也小学校グラウンド,,,福岡県糸島市志摩初198,,819 1312,33.583122,130.179209,,092 327 0004,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,2000,,,,,,,
66,志摩中央公園,,,福岡県糸島市志摩初25-1,,819 1312,33.582234,130.184672,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,7800,,,,,,,
67,初引が浦公園,,,福岡県糸島市志摩初268-14,,819 1312,33.580689,130.178687,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,500,,,,,,,
68,稲葉第一公園,,,福岡県糸島市志摩稲葉71,,819 1315,33.57425,130.184622,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,700,,,,,,,
69,稲葉第二公園,,,福岡県糸島市志摩稲葉202,,819 1315,33.574096,130.186769,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,650,,,,,,,
70,志摩中学校グラウンド,,,福岡県糸島市志摩小金丸1836,,819 1323,33.590617,130.147163,,092 327 0221,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,5000,,,,,,,
71,桜野コミュニティセンター,,,福岡県糸島市志摩桜井5942-1,,819 1304,33.617221,130.176385,,092 327 0259,,,,402303,福岡県,糸島市,1,1,1,1,1,1,1,,,1,,100,,,,,,,
72,桜野小学校グラウンド,,,福岡県糸島市志摩桜井5921,,819 1304,33.619365,130.177819,,092 327 0055,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,250,,,,,,,
73,引津コミュニティセンター,,,福岡県糸島市志摩御床2165-3,,819 1322,33.566398,130.13829,,092 328 0855,,,,402303,福岡県,糸島市,1,1,1,1,1,1,1,,,1,,100,,,,,,,
74,引津小学校グラウンド,,,福岡県糸島市志摩御床2165-2,,819 1322,33.566809,130.138596,,092 328 2207,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,250,,,,,,,
75,引津運動公園,,,福岡県糸島市志摩御床2211,,819 1322,33.565784,130.142313,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,3400,,,,,,,
76,旧芥屋公民館,,,福岡県糸島市志摩芥屋26-7,,819 1335,33.584464,130.123704,,092 328 2009,,,,402303,福岡県,糸島市,1,1,1,1,1,1,1,,,1,,250,,,,,,,
77,芥屋の大門公園,,,福岡県糸島市志摩芥屋674,,819 1335,33.594413,130.109564,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,4400,,,,,,,
78,芥屋野球場,,,福岡県糸島市志摩芥屋26-1,,819 1335,33.583415,130.122827,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,4050,,,,,,,
79,芥屋第一・第二駐車場,,,福岡県糸島市志摩芥屋677-2,,819 1335,33.589665,130.107843,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,3600,,,,,,,
80,姫島小中学校グラウンド,,,福岡県糸島市志摩姫島976,,819 1336,33.568533,130.046004,,092 328 2942,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,250,,,,,,,
81,姫島福祉センター　はまゆう,,,福岡県糸島市志摩姫島1082-1,,819 1336,33.567445,130.051154,,092 328 2044,,,,402303,福岡県,糸島市,1,1,1,1,1,1,1,,,1,,45,,,,,,,
82,マルキョウ高田店駐車場,,,福岡県糸島市高田五丁目28-15,,819 1102,33.571619,130.240297,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,500,,,,,,,
83,ミスターマックス糸島店駐車場,,,福岡県糸島市高田四丁目16-1,,819 1102,33.57125288,130.2374684,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,650,,,,,,,
84,マルショク南風店駐車場,,,福岡県糸島市南風台三丁目14-11,,819 1137,33.549141,130.194966,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,3500,,,,,,,
85,マルキョウニュー前原店駐車場,,,福岡県糸島市荻浦四丁目1-1,,819 1121,33.551864,130.187244,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,1600,,,,,,,
86,グッデイ加布里店駐車場,,,福岡県糸島市神在西1丁目3-6,,819 1123,33.547325,130.174872,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,1200,,,,,,,
87,イオンスーパーセンター志摩店駐車場,,,福岡県糸島市志摩津和崎29-1,,819 1311,33.579822,130.186035,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,17500,,,,,,,
88,福岡市立周船寺小学校グラウンド,,,福岡県福岡市西区周船寺1丁目22-39,,819 0373 ,33.570054,130.242138,,,,,,402303,福岡県,糸島市,,,,1,,1,,,,,,1750,,,,,,,
89,波多江小学校(体育館) ,,,福岡県糸島市波多江駅北四丁目12-1,,819 1107,33.565056,130.229302,,092 322 2330,,,,402303,福岡県,糸島市,,,,,,,,,1,,,300,,,,,,,
90,東風小学校(体育館),,,福岡県糸島市潤四丁目10-1,,819 1105,33.567673,130.217183,,092 321 4888,,,,402303,福岡県,糸島市,,,,,,,,,1,,,300,,,,,,,
91,伊都文化会館,,,福岡県糸島市前原東二丁目2-7,,819 1119,33.560919,130.204877,,092 323 1128,,,,402303,福岡県,糸島市,,,,,,,,,1,,,75,,,,,,,
92,人権センター,,,福岡県糸島市前原東二丁目2-1,,819 1119,33.560601,130.20309,,092 322 5095,,,,402303,福岡県,糸島市,,,,,,,,,1,,,100,,,,,,,
93,前原小学校(体育館),,,福岡県糸島市前原東二丁目2-6,,819 1119,33.561821,130.203404,,092 322 3267,,,,402303,福岡県,糸島市,,,,,,,,,1,,,300,,,,,,,
94,前原南小学校(体育館),,,福岡県糸島市前原南一丁目17-1,,819 1139,33.555961,130.205829,,092 322 5200,,,,402303,福岡県,糸島市,,,,,,,,,1,,,175,,,,,,,
95,前原中学校(体育館),,,福岡県糸島市篠原西二丁目2-1,,819 1129,33.551854,130.2071,,092 322 2038,,,,402303,福岡県,糸島市,,,,,,,,,1,,,450,,,,,,,
96,南風小学校(体育館),,,福岡県糸島市南風台八丁目10-1,,819 1137,33.546119,130.194071,,092 331 2111,,,,402303,福岡県,糸島市,,,,,,,,,1,,,300,,,,,,,
97,前原西中学校(体育館),,,福岡県糸島市荻浦三丁目4-1,,819 1121,33.554647,130.188218,,092 322 5329,,,,402303,福岡県,糸島市,,,,,,,,,1,,,325,,,,,,,
98,男女共同参画センター　ラポール,,,福岡県糸島市神在西3丁目1-5,,819 1123,33.543697,130.174457,,092 324 2800,,,,402303,福岡県,糸島市,,,,,,,,,1,,,125,,,,,,,
99,加布里小学校(体育館),,,福岡県糸島市神在西3丁目1-27,,819 1123,33.543874,130.173965,,092 322 2741,,,,402303,福岡県,糸島市,,,,,,,,,1,,,300,,,,,,,
100,長糸小学校(体育館),,,福岡県糸島市川付847,,819 1155,33.510866,130.193311,,092 322 2920,,,,402303,福岡県,糸島市,,,,,,,,,1,,,175,,,,,,,
101,雷山小学校(体育館),,,福岡県糸島市蔵持810-1,,819 1141,33.536764,130.218909,,092 323 0816,,,,402303,福岡県,糸島市,,,,,,,,,1,,,150,,,,,,,
102,曽根体育館,,,福岡県糸島市曽根68-1,,819 1561,33.530743,130.230273,,092 323 5900,,,,402303,福岡県,糸島市,,,,,,,,,1,,,250,,,,,,,
103,怡土小学校(体育館),,,福岡県糸島市高祖784-1,,819 1571,33.537085,130.250214,,092 322 7809,,,,402303,福岡県,糸島市,,,,,,,,,1,,,200,,,,,,,
104,前原東中学校(体育館),,,福岡県糸島市井田658,,819 1562,33.547458,130.230368,,092 324 2153,,,,402303,福岡県,糸島市,,,,,,,,,1,,,450,,,,,,,
105,一貴山小学校(体育館),,,福岡県糸島市二丈石崎152,,819 1623,33.518193,130.163205,,092 325 0153,,,,402303,福岡県,糸島市,,,,,,,,,1,,,200,,,,,,,
106,深江小学校(体育館),,,福岡県糸島市二丈深江999,,819 1601,33.515097,130.135905,,092 325 0023,,,,402303,福岡県,糸島市,,,,,,,,,1,,,175,,,,,,,
107,二丈中学校(体育館),,,福岡県糸島市二丈深江1339-1,,819 1601,33.517947,130.144312,,092 325 0020,,,,402303,福岡県,糸島市,,,,,,,,,1,,,450,,,,,,,
108,福吉小学校(体育館),,,福岡県糸島市二丈吉井4118,,819 1641,33.502804,130.078438,,092 326 5506,,,,402303,福岡県,糸島市,,,,,,,,,1,,,225,,,,,,,
109,福吉中学校(体育館),,,福岡県糸島市二丈福井5918-1,,819 1631,33.501997,130.085992,,092 326 5529,,,,402303,福岡県,糸島市,,,,,,,,,1,,,425,,,,,,,
110,健康福祉センター　ふれあい,,,福岡県糸島市志摩初1,,819 1312,33.583652,130.185909,,092 327 3514,,,,402303,福岡県,糸島市,,,,,,,,,1,,,200,,,,,,,
111,志摩体育館,,,福岡県糸島市志摩初72-1,,819 1312,33.583908,130.182331,,092 327 2705,,,,402303,福岡県,糸島市,,,,,,,,,1,,,250,,,,,,,
112,可也小学校(体育館),,,福岡県糸島市志摩初198-1,,819 1312,33.583757,130.179509,,092 327 0004,,,,402303,福岡県,糸島市,,,,,,,,,1,,,250,,,,,,,
113,志摩中学校(体育館),,,福岡県糸島市志摩小金丸1836-1,,819 1323,33.591237,130.145768,,092 327 0221,,,,402303,福岡県,糸島市,,,,,,,,,1,,,450,,,,,,,
114,桜野小学校(体育館),,,福岡県糸島市志摩桜井5921,,819 1304,33.619758,130.178388,,092 327 0055,,,,402303,福岡県,糸島市,,,,,,,,,1,,,250,,,,,,,
115,引津小学校(体育館),,,福岡県糸島市志摩御床2165-2,,819 1322,33.567536,130.138978,,092 328 2207,,,,402303,福岡県,糸島市,,,,,,,,,1,,,250,,,,,,,
116,姫島小学校(体育館),,,福岡県糸島市志摩姫島976-3,,819 1336,33.569003,130.045985,,092 328 2941,,,,402303,福岡県,糸島市,,,,,,,,,1,,,25,,,,,,,
117,志摩中学校姫島分校(体育館),,,福岡県糸島市志摩姫島976-3,,819 1336,33.569003,130.045985,,092 328 2942,,,,402303,福岡県,糸島市,,,,,,,,,1,,,25,,,,,,,
